id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.2,1.35,1.01,1.2,1.01,1.25,25,0
2,proxy2,1.0,1.01,1.0,1.0,0.99,0.95,19,0
3,proxy3,0.81,0.97,0.93,0.81,1.0,1.0,20,0
4,proxy4,1.37,0.92,0.95,1.37,1.0,1.25,25,0
5,proxy5,1.04,1.39,0.86,1.04,1.0,1.1,22,0
6,proxy6,0.97,1.0,1.06,0.97,1.0,1.0,20,0
7,proxy7,1.06,1.09,1.02,1.06,1.0,0.95,19,0
8,proxy8,12.93,0.85,2.7,136.6,4.62,1.1,22,1
9,proxy9,0.73,0.83,1.08,0.73,0.99,0.8,16,0
10,proxy10,0.61,0.98,0.89,0.61,0.97,0.6,12,0
