id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum,BeingAttack
1,proxy1,7.08,15.307880839076548,47.4197377951447,0.248,36.69502218392268,109,9,1
2,proxy2,2.53,10.496187642185033,25.5752105657864,0.253,13.299999999999999,11,11,0
3,proxy3,3.2799999999999994,15.549347181716863,11.158352651726144,0.328,13.1,15,15,0
4,proxy4,0.8400000000000001,15.498889095996176,26.853536544848275,0.084,12.2,6,6,0
5,proxy5,8.46,24.871250157294405,39.99978219522836,0.226,55.23569514117351,208,8,1
6,proxy6,0.97,11.043559453459256,12.935098366951328,0.097,11.1,4,4,0
7,proxy7,2.45,27.424411876688882,10.267915803079259,0.245,14.0,12,12,0
8,proxy8,2.33,10.977369348322672,23.449060438563947,0.23300000000000004,11.7,7,7,0
9,proxy9,2.61,28.34548043059364,24.32060046823271,0.261,11.4,7,7,0
10,proxy10,2.8999999999999995,11.686102180977034,11.963659013111643,0.29,13.7,9,9,0
11,proxy11,1.57,12.24315850990785,19.184055227744302,0.15700000000000003,12.0,8,8,0
12,proxy12,6.580000000000001,12.182301340247792,38.9897264835507,0.18800000000000003,23.802187770872685,109,9,1
13,proxy13,1.3599999999999999,14.638402789385141,19.8424015639938,0.136,11.4,5,5,0
14,proxy14,3.4200000000000004,29.939970392027288,19.834537198112567,0.342,12.4,12,12,0
15,proxy15,2.59,21.64236983920558,15.716469325806909,0.259,12.9,8,8,0
16,proxy16,5.380000000000001,13.558095089013847,26.67743872528965,0.278,25.196947793395445,114,14,1
17,proxy17,9.84,11.135660635609353,27.094447694720053,0.4940000000000001,40.89843226183537,121,21,1
18,proxy18,14.239999999999998,12.232943138646318,79.31860840533272,0.544,48.34836634243769,216,16,1
19,proxy19,7.82,21.736698893665746,52.64938115959515,0.332,28.43023680396476,112,12,1
20,proxy20,2.43,26.440522417892144,19.4814927336522,0.24300000000000002,11.9,7,7,0
