id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum,BeingAttack
1,proxy1,3.84,23.364215848851504,19.164226167663436,0.38399999999999995,13.5,16,16,0
2,proxy2,2.24,10.355638749729826,11.743355524814078,0.224,11.9,8,8,0
3,proxy3,12.850000000000001,14.910756831206582,53.64788426114865,0.505,44.102008028809564,218,18,1
4,proxy4,3.2,23.741351136511454,10.895759899652052,0.32,13.3,10,10,0
5,proxy5,4.42,14.584842475271774,15.208690094423527,0.4420000000000001,14.8,18,18,0
6,proxy6,6.14,23.405961337477514,33.94752139350123,0.36400000000000005,42.78026283686061,117,17,1
7,proxy7,6.380000000000001,18.889895335140853,37.55289142589205,0.3780000000000001,41.035882094115166,116,16,1
8,proxy8,6.9,19.373467574355715,40.299119355301556,0.27,30.22306568443004,110,10,1
9,proxy9,3.3400000000000003,20.256368633778454,24.022786144339726,0.3340000000000001,12.2,12,12,0
10,proxy10,1.4700000000000002,26.63500760255437,22.019293394023354,0.14700000000000002,11.8,8,8,0
11,proxy11,2.7,19.04115647846675,18.59192325178825,0.27,13.3,9,9,0
12,proxy12,2.1900000000000004,27.845445490907675,11.530857012805761,0.21900000000000003,13.3,12,12,0
13,proxy13,5.449999999999999,14.210442001724898,29.336364095142812,0.2950000000000001,25.038725405206787,113,13,1
14,proxy14,7.770000000000001,15.270738317897651,44.52502163907529,0.367,27.172863978928103,111,11,1
15,proxy15,6.71,27.5832403358738,17.014785168344403,0.6710000000000003,17.8,24,24,0
16,proxy16,5.460000000000001,24.55467878478775,33.10979185947826,0.266,27.898046079407507,110,10,1
17,proxy17,2.87,17.156590840643002,16.486718783068845,0.287,11.4,10,10,0
18,proxy18,5.430000000000001,23.49964236941418,38.66746879018666,0.27299999999999996,40.6750260143251,110,10,1
19,proxy19,2.89,27.6741714996874,20.06111024297351,0.28900000000000003,13.5,13,13,0
20,proxy20,2.58,10.857756048068007,16.09537026174216,0.258,12.1,8,8,0
21,proxy21,2.56,26.335894603574857,12.542074951487374,0.256,13.8,12,12,0
22,proxy22,2.14,18.10740169481667,27.04224815260126,0.214,12.1,9,9,0
23,proxy23,1.7000000000000002,23.855828910095564,17.191580393647772,0.17,11.4,7,7,0
24,proxy24,2.6100000000000003,12.859555815740109,15.528955692033074,0.261,12.0,10,10,0
25,proxy25,5.42,18.786580568304224,54.59025028360314,0.302,30.35116445935825,109,9,1
