id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum
1,proxy1,7.170000000000002,4.589374696766821,28.56423325213954,0.7170000000000002,100,126,39
2,proxy2,12.010000000000002,4.748264719656753,18.63470239268675,1.2010000000000003,100,192,50
3,proxy3,10.050000000000002,4.563904078701662,10.887364051176641,1.0050000000000003,100,168,43
4,proxy4,10.82,4.306179639758792,15.922279313381612,1.082,100,158,48
5,proxy5,14.349999999999994,5.046145183311406,14.43104296399528,1.4349999999999992,100,234,68
6,proxy6,11.010000000000002,4.733790799450727,26.94322469598106,1.1010000000000002,100,206,51
7,proxy7,10.389999999999999,4.182340409062984,13.318771913293684,1.0390000000000006,100,172,45
8,proxy8,9.660000000000002,4.408755728042902,21.862152634147314,0.9660000000000006,100,186,45
9,proxy9,11.4,3.9441194808030717,24.925711241365807,1.1400000000000006,100,206,50
10,proxy10,13.940000000000001,4.108619416888641,17.240672407063055,1.3940000000000001,100,196,61
