id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.78,0.86,0.69,0.78,0.99,0.57,4,0
2,proxy2,29.65,0.75,4.81,1.35,7.24,4.14,9,0
3,proxy3,1.64,1.09,0.82,1.64,1.0,1.0,7,0
4,proxy4,1.31,1.04,1.13,1.31,1.01,1.29,9,0
5,proxy5,1.33,1.22,0.95,1.33,1.0,1.0,7,0
6,proxy6,0.2,1.16,1.14,0.2,0.99,0.14,1,0
7,proxy7,0.45,0.98,0.67,0.45,0.98,0.29,2,0
8,proxy8,1.3,0.87,1.15,1.3,1.01,1.14,8,0
9,proxy9,1.09,1.11,1.29,1.09,1.01,1.29,9,0
10,proxy10,0.69,0.9,1.18,0.69,0.99,0.71,5,0
11,proxy11,0.41,0.87,0.79,0.41,0.99,0.43,3,0
12,proxy12,1.46,1.03,1.24,1.46,1.0,1.0,7,0
13,proxy13,1.43,1.35,1.03,1.43,1.01,1.29,9,0
14,proxy14,1.0,0.85,1.13,1.0,1.0,0.86,6,0
15,proxy15,13.06,0.69,0.91,13.06,1.0,1.14,8,1
16,proxy16,1.09,0.93,0.87,1.09,1.0,0.86,6,0
17,proxy17,0.53,0.74,0.87,0.53,0.99,0.43,3,0
18,proxy18,1.64,0.79,0.95,1.64,1.0,1.14,8,0
19,proxy19,1.06,1.18,0.72,1.06,1.0,1.0,7,0
20,proxy20,0.68,0.86,1.16,0.68,1.0,0.86,6,0
21,proxy21,0.99,1.14,1.1,0.99,1.0,0.86,6,0
22,proxy22,0.37,1.29,0.81,0.37,0.99,0.43,3,0
23,proxy23,0.72,0.81,1.29,0.72,0.99,0.57,4,0
24,proxy24,0.45,0.88,1.14,0.45,0.99,0.57,4,0
25,proxy25,0.26,0.94,0.85,0.26,0.99,0.57,4,0
26,proxy26,1.82,1.19,0.69,1.82,1.02,1.57,11,0
27,proxy27,28.89,0.93,5.68,1.21,6.3,3.86,7,0
28,proxy28,1.07,0.91,1.18,1.07,1.0,1.0,7,0
29,proxy29,0.82,1.18,1.25,0.82,1.0,1.14,8,0
30,proxy30,1.42,0.7,0.91,1.42,1.0,1.0,7,0
31,proxy31,0.6,1.11,1.26,0.6,1.0,0.86,6,0
32,proxy32,1.23,1.17,1.0,1.23,1.02,1.43,10,0
33,proxy33,0.47,1.33,1.18,0.47,1.0,0.86,6,0
34,proxy34,0.83,0.97,1.06,0.83,1.0,0.57,4,0
35,proxy35,0.3,1.28,1.1,0.3,0.99,0.29,2,0
36,proxy36,1.3,1.3,1.08,1.3,1.02,1.29,9,0
37,proxy37,0.86,1.13,0.71,0.86,1.0,0.71,5,0
38,proxy38,0.25,1.18,0.85,0.25,0.99,0.43,3,0
39,proxy39,1.92,1.33,1.22,1.92,1.01,1.57,11,0
40,proxy40,0.56,0.72,1.08,0.56,1.0,0.71,5,0
41,proxy41,1.36,0.85,0.9,1.36,1.0,1.14,8,0
42,proxy42,8.34,1.13,0.87,8.34,1.0,0.86,6,1
43,proxy43,1.82,0.98,0.78,1.82,1.01,1.71,12,0
44,proxy44,1.65,1.0,1.03,1.65,1.0,1.14,8,0
45,proxy45,0.41,0.9,0.81,0.41,0.99,0.43,3,0
46,proxy46,1.34,1.07,0.91,1.34,1.0,1.0,7,0
47,proxy47,0.48,0.83,1.3,0.48,0.99,0.57,4,0
48,proxy48,0.89,0.72,1.12,0.89,1.0,0.86,6,0
49,proxy49,0.73,0.89,0.67,0.73,1.0,0.71,5,0
50,proxy50,1.45,1.35,1.03,1.45,1.0,1.29,9,0
51,proxy51,0.72,1.1,0.76,0.72,1.0,1.0,7,0
52,proxy52,1.35,0.73,0.68,1.35,1.02,1.57,11,0
53,proxy53,0.68,0.85,1.23,0.68,1.0,0.71,5,0
54,proxy54,1.13,1.05,0.66,1.13,1.01,1.14,8,0
55,proxy55,1.42,1.13,1.11,1.42,1.0,1.0,7,0
56,proxy56,0.52,1.01,1.0,0.52,1.0,0.71,5,0
57,proxy57,1.48,0.85,0.97,1.48,1.01,1.57,11,0
58,proxy58,47.12,0.82,3.43,384.47,5.82,0.86,6,1
59,proxy59,1.0,0.94,0.93,1.0,1.0,1.0,7,0
60,proxy60,29.6,0.99,6.57,0.67,6.87,3.43,4,0
61,proxy61,1.08,1.25,0.91,1.08,1.02,1.43,10,0
62,proxy62,42.7,0.92,3.6,500.18,4.93,1.71,12,1
63,proxy63,0.17,1.21,1.08,0.17,0.99,0.14,1,0
64,proxy64,1.07,1.1,0.98,1.07,1.0,1.0,7,0
65,proxy65,0.86,1.32,1.3,0.86,1.0,0.71,5,0
66,proxy66,27.47,1.16,7.82,1.06,10.53,3.57,5,0
67,proxy67,0.78,0.88,0.88,0.78,1.01,1.0,7,0
68,proxy68,0.03,1.31,1.3,0.03,0.99,0.14,1,0
69,proxy69,1.62,0.94,0.68,1.62,1.01,1.43,10,0
70,proxy70,0.83,0.82,0.93,0.83,1.0,0.86,6,0
71,proxy71,0.8,1.31,1.03,0.8,0.99,0.57,4,0
72,proxy72,1.39,1.16,1.03,1.39,1.0,0.71,5,0
73,proxy73,0.58,1.3,1.28,0.58,1.0,0.57,4,0
74,proxy74,1.5,0.72,0.8,1.5,1.0,0.86,6,0
75,proxy75,1.45,1.25,0.89,1.45,1.01,1.14,8,0
76,proxy76,0.78,0.72,0.7,0.78,1.0,0.86,6,0
77,proxy77,0.56,1.34,0.84,0.56,1.01,1.0,7,0
78,proxy78,1.1,0.86,0.9,1.1,1.01,1.14,8,0
79,proxy79,8.72,1.09,0.88,8.72,1.0,1.29,9,1
80,proxy80,1.46,0.73,0.93,1.46,1.0,1.43,10,0
81,proxy81,1.48,0.77,1.29,1.48,1.01,1.43,10,0
82,proxy82,1.27,0.88,0.7,1.27,1.0,1.0,7,0
83,proxy83,0.5,0.82,1.19,0.5,0.99,0.43,3,0
84,proxy84,0.37,1.06,0.85,0.37,0.99,0.57,4,0
85,proxy85,0.74,1.31,0.74,0.74,1.0,0.71,5,0
86,proxy86,0.81,0.94,0.7,0.81,0.99,0.71,5,0
87,proxy87,0.2,1.1,1.3,0.2,0.99,0.43,3,0
88,proxy88,7.74,1.32,0.91,7.74,1.0,0.71,5,1
89,proxy89,0.55,1.25,1.03,0.55,1.0,0.71,5,0
90,proxy90,1.23,1.24,0.99,1.23,1.0,1.29,9,0
91,proxy91,1.06,0.86,1.07,1.06,1.01,1.14,8,0
92,proxy92,1.27,0.89,0.78,1.27,1.02,1.43,10,0
93,proxy93,0.98,0.74,0.96,0.98,1.01,1.14,8,0
94,proxy94,1.58,0.86,0.92,1.58,1.01,1.43,10,0
95,proxy95,0.96,1.05,0.94,0.96,1.0,0.86,6,0
96,proxy96,0.47,1.28,0.67,0.47,1.0,0.86,6,0
97,proxy97,1.43,0.82,1.14,1.43,1.0,1.14,8,0
98,proxy98,8.73,0.86,5.88,1.18,8.55,4.0,8,0
99,proxy99,51.47,1.24,3.43,371.94,4.57,1.43,10,1
100,proxy100,0.99,1.22,1.07,0.99,1.0,1.0,7,0
101,proxy101,10.0,1.28,0.86,10.0,1.0,0.86,6,1
102,proxy102,1.65,1.16,0.71,1.65,1.0,1.14,8,0
103,proxy103,1.32,0.85,1.05,1.32,1.01,1.14,8,0
104,proxy104,1.19,0.84,1.07,1.19,1.0,1.14,8,0
105,proxy105,0.94,1.1,0.78,0.94,1.0,0.71,5,0
106,proxy106,23.28,0.84,6.12,0.64,7.2,3.29,3,0
107,proxy107,7.4,0.86,1.13,7.4,1.0,0.71,5,1
108,proxy108,0.76,0.78,0.97,0.76,1.0,0.71,5,0
109,proxy109,14.23,0.88,1.2,14.23,1.01,1.86,13,1
110,proxy110,0.37,0.88,0.86,0.37,0.99,0.43,3,0
111,proxy111,1.12,1.04,1.21,1.12,1.0,1.14,8,0
112,proxy112,0.84,1.07,1.2,0.84,1.0,1.29,9,0
113,proxy113,0.69,0.87,0.95,0.69,0.99,0.86,6,0
114,proxy114,0.39,1.07,1.32,0.39,0.99,0.29,2,0
115,proxy115,0.62,1.0,1.15,0.62,1.0,0.57,4,0
116,proxy116,1.43,0.99,0.9,1.43,1.01,1.43,10,0
117,proxy117,0.54,1.1,1.01,0.54,0.99,0.43,3,0
118,proxy118,1.36,0.74,0.93,1.36,1.0,1.14,8,0
