id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.76,1.02,0.65,0.76,0.99,0.73,19,0
2,proxy2,4.0,0.91,0.96,4.0,0.98,0.77,20,1
3,proxy3,1.39,0.86,1.01,1.39,1.02,1.15,30,0
4,proxy4,3.45,0.89,0.69,3.45,1.01,1.35,35,1
5,proxy5,1.44,1.03,0.77,1.44,1.01,1.15,30,0
6,proxy6,3.45,0.81,0.84,3.45,1.02,1.23,32,1
7,proxy7,1.31,1.0,1.0,1.31,1.0,1.23,32,0
8,proxy8,2.8,1.04,0.85,2.8,0.98,0.73,19,1
9,proxy9,2.23,0.61,0.82,2.23,0.98,0.65,17,1
10,proxy10,0.57,0.9,0.63,0.57,0.98,0.69,18,0
11,proxy11,6.32,0.87,0.91,6.32,1.01,1.19,31,1
12,proxy12,3.7,1.12,1.07,3.7,1.0,1.19,31,1
13,proxy13,0.86,0.64,0.78,0.86,0.99,0.77,20,0
14,proxy14,7.07,1.15,0.99,7.07,1.01,1.04,27,1
15,proxy15,2.78,0.64,0.93,2.78,0.99,0.85,22,1
16,proxy16,3.75,0.81,0.97,3.75,0.99,0.85,22,1
17,proxy17,1.12,0.6,1.0,1.12,1.02,1.12,29,0
18,proxy18,0.96,1.08,1.09,0.96,0.99,0.77,20,0
19,proxy19,1.0,1.13,1.08,1.0,1.0,1.0,26,0
20,proxy20,6.22,0.68,1.09,6.22,0.99,0.77,20,1
