id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.73,0.79,1.12,0.75,1.0,0.71,5,0
2,proxy2,25.73,0.72,5.67,1.08,10.17,3.57,5,0
3,proxy3,1.98,1.31,0.98,2.04,1.01,1.43,10,0
4,proxy4,1.12,1.14,0.98,1.16,1.0,1.43,10,0
5,proxy5,24.08,0.93,7.47,1.28,8.23,3.86,7,0
6,proxy6,0.84,0.85,1.26,0.87,1.0,0.86,6,0
7,proxy7,0.6,1.06,0.98,0.62,0.98,0.57,4,0
8,proxy8,1.11,0.8,0.88,1.15,1.0,1.0,7,0
9,proxy9,1.56,0.91,1.28,1.61,1.0,1.43,10,0
10,proxy10,0.6,1.0,0.68,0.62,0.99,0.57,4,0
11,proxy11,0.57,1.1,1.23,0.59,1.0,0.71,5,0
12,proxy12,0.97,1.17,1.0,1.0,1.0,1.0,7,0
13,proxy13,1.0,1.15,0.88,1.03,1.0,1.14,8,0
14,proxy14,24.02,0.73,5.64,0.58,8.17,3.57,5,0
15,proxy15,0.96,1.09,0.8,0.99,0.99,1.0,7,0
