id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum
1,proxy1,3.3400000000000007,4.204215028589279,28.52583325213954,0.334,100,55,19
2,proxy2,7.91,4.281462945155373,18.59070239268675,0.7910000000000003,100,103,31
3,proxy3,6.640000000000002,4.099081841544436,10.842564051176641,0.6640000000000001,100,90,29
4,proxy4,5.32,3.8548179112257124,15.87867931338161,0.532,100,78,23
5,proxy5,10.02,4.214260070466171,14.36844296399528,1.0020000000000004,100,110,41
6,proxy6,7.829999999999999,4.115053445637862,26.89732469598106,0.7830000000000004,100,110,37
7,proxy7,4.890000000000001,3.774756577849227,13.278871913293685,0.4890000000000001,100,92,22
8,proxy8,6.130000000000001,4.07804892524495,21.816452634147314,0.6130000000000003,100,102,31
9,proxy9,7.700000000000001,3.8503887511571446,24.877211241365806,0.7700000000000004,100,115,34
10,proxy10,6.699999999999999,3.9141198116613163,17.187872407063058,0.6700000000000002,100,89,33
