id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.77,1.23,1.03,0.77,0.98,0.6,15,0
2,proxy2,0.74,0.94,0.96,0.74,0.99,0.88,22,0
3,proxy3,1.0,0.94,0.74,1.0,1.02,1.08,27,0
4,proxy4,1.72,0.87,0.89,1.72,1.03,1.52,38,0
5,proxy5,0.89,1.35,0.75,0.89,1.0,1.0,25,0
6,proxy6,1.22,1.05,1.08,1.22,1.0,1.16,29,0
7,proxy7,1.24,1.44,1.17,1.24,1.02,1.36,34,0
8,proxy8,1.05,0.99,0.69,1.05,1.01,1.0,25,0
9,proxy9,0.72,0.98,0.99,0.72,0.98,0.68,17,0
10,proxy10,0.91,1.01,1.22,0.91,1.01,1.0,25,0
11,proxy11,1.34,1.02,1.2,1.34,1.0,1.08,27,0
12,proxy12,1.05,0.94,1.2,1.05,0.99,1.04,26,0
13,proxy13,0.72,1.39,0.78,0.72,0.99,0.72,18,0
14,proxy14,0.86,0.93,0.74,0.86,1.0,0.84,21,0
15,proxy15,0.8,0.78,1.04,0.8,0.98,0.68,17,0
16,proxy16,0.95,1.05,0.74,0.95,1.0,0.92,23,0
17,proxy17,1.02,1.11,0.7,1.02,1.01,1.12,28,0
18,proxy18,1.39,0.84,1.21,1.39,1.02,1.28,32,0
19,proxy19,1.4,1.16,1.18,1.4,1.01,1.16,29,0
20,proxy20,1.0,0.82,1.01,1.0,0.99,0.88,22,0
