id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,17.55,1.01,3.47,254.14,4.84,1.09,12,1
2,proxy2,1.11,1.26,1.2,1.11,1.0,1.18,13,0
3,proxy3,0.38,1.05,1.3,0.38,0.99,0.64,7,0
4,proxy4,1.1,0.73,0.79,1.1,1.0,1.0,11,0
5,proxy5,1.0,1.0,0.96,1.0,1.0,1.0,11,0
6,proxy6,0.25,1.01,0.8,0.25,0.99,0.45,5,0
7,proxy7,24.27,1.27,4.46,230.84,4.92,1.27,14,1
8,proxy8,0.41,0.9,1.33,0.41,0.99,0.55,6,0
9,proxy9,17.67,1.12,3.82,221.93,4.7,0.73,8,1
10,proxy10,1.51,0.9,1.0,1.51,1.02,1.18,13,0
