id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.17,1.16,1.01,1.17,1.0,1.33,6,0
2,proxy2,1.2,0.72,1.09,1.2,1.0,1.11,5,0
3,proxy3,2.73,0.81,1.18,2.73,1.02,2.44,11,0
4,proxy4,0.29,1.01,1.25,0.29,1.0,0.44,2,0
5,proxy5,0.69,0.96,0.95,0.69,1.0,0.67,3,0
6,proxy6,0.81,1.18,0.7,0.81,1.0,1.11,5,0
7,proxy7,1.07,1.15,0.99,1.07,1.0,1.33,6,0
8,proxy8,0.32,1.24,0.92,0.32,0.99,0.44,2,0
9,proxy9,0.49,1.08,0.91,0.49,1.0,0.89,4,0
10,proxy10,1.14,1.0,0.75,1.14,1.0,0.89,4,0
11,proxy11,1.31,0.64,0.77,1.31,1.0,1.11,5,0
12,proxy12,1.03,1.21,0.72,1.03,1.01,1.33,6,0
13,proxy13,0.82,1.13,1.31,0.82,1.0,1.33,6,0
14,proxy14,0.4,0.97,1.24,0.4,1.0,0.67,3,0
15,proxy15,0.97,0.99,1.06,0.97,1.0,0.89,4,0
16,proxy16,1.03,0.76,1.29,1.03,1.0,0.89,4,0
17,proxy17,1.15,0.77,0.79,1.15,1.01,2.0,9,0
18,proxy18,0.28,1.08,0.9,0.28,0.99,0.22,1,0
19,proxy19,1.89,1.0,1.32,1.89,1.03,2.44,11,0
20,proxy20,0.8,0.7,1.29,0.8,1.0,0.67,3,0
