id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,58.27,0.81,3.47,437.41,5.43,1.14,8,1
2,proxy2,1.31,1.43,0.99,1.31,1.0,0.86,6,0
3,proxy3,0.86,1.03,1.16,0.86,1.0,1.0,7,0
4,proxy4,0.27,0.97,1.16,0.27,1.0,0.43,3,0
5,proxy5,0.95,0.83,0.67,0.95,1.0,1.0,7,0
6,proxy6,12.08,1.32,0.72,12.08,1.01,1.57,11,1
7,proxy7,0.23,1.13,1.03,0.23,0.99,0.14,1,0
8,proxy8,1.49,1.03,0.96,1.49,1.0,1.43,10,0
9,proxy9,0.87,1.37,1.07,0.87,1.01,1.0,7,0
10,proxy10,1.05,0.88,0.96,1.05,1.0,0.86,6,0
11,proxy11,1.11,1.08,0.64,1.11,1.01,1.0,7,0
12,proxy12,0.21,0.96,0.69,0.21,0.99,0.43,3,0
13,proxy13,7.03,0.97,0.81,7.03,1.01,1.14,8,1
14,proxy14,1.57,0.89,1.01,1.57,1.01,1.29,9,0
15,proxy15,1.41,0.91,1.15,1.41,1.0,1.0,7,0
