id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum
1,proxy1,7.119999999999999,4.079899249719056,11.532840791549306,0.7120000000000003,100,82,32
2,proxy2,6.010000000000001,4.228332284652783,20.7243495702708,0.6010000000000001,100,75,26
3,proxy3,7.269999999999999,4.038500661985019,22.47968888567136,0.7270000000000002,100,95,35
4,proxy4,5.399999999999999,3.8943023737892,19.305186263389,0.54,100,95,26
5,proxy5,9.69,4.369264167364603,28.473546654148983,0.9690000000000004,100,98,33
6,proxy6,6.380000000000001,4.240771746948454,25.270392376246633,0.6380000000000002,100,81,29
7,proxy7,6.38,4.153234832011275,26.447498715798414,0.6380000000000001,100,79,31
8,proxy8,4.719999999999999,3.879430382835395,19.5624377827747,0.47200000000000003,100,71,22
9,proxy9,6.3900000000000015,3.6433663372777243,13.205034844373252,0.6390000000000001,100,87,26
10,proxy10,9.31,4.30738308203246,10.933566318680322,0.9310000000000005,100,98,40
