id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.23,0.78,1.09,1.45,1.01,1.43,10,0
2,proxy2,0.39,0.8,1.22,0.46,0.99,0.57,4,0
3,proxy3,0.55,1.42,1.21,0.65,1.0,0.71,5,0
4,proxy4,1.16,0.76,1.2,1.37,1.0,1.0,7,0
5,proxy5,20.48,1.32,6.44,0.69,9.5,3.71,6,0
6,proxy6,0.85,0.83,0.83,1.0,1.0,1.0,7,0
7,proxy7,20.57,1.37,4.91,1.41,10.81,4.14,9,0
8,proxy8,0.57,0.84,0.92,0.67,1.0,0.86,6,0
9,proxy9,1.2,1.0,0.73,1.42,1.01,1.14,8,0
10,proxy10,0.55,1.31,1.0,0.65,1.0,0.71,5,0
11,proxy11,1.47,0.76,0.67,1.73,1.0,1.29,9,0
12,proxy12,0.53,1.35,0.75,0.62,1.0,0.43,3,0
13,proxy13,0.56,0.93,0.71,0.66,1.0,0.71,5,0
14,proxy14,1.0,1.41,1.02,1.18,1.0,0.86,6,0
15,proxy15,1.41,1.23,0.95,1.66,1.01,1.43,10,0
