id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.46,1.2,1.19,1.49,1.0,1.33,8,0
2,proxy2,0.91,0.99,1.3,0.93,1.01,1.0,6,0
3,proxy3,1.02,0.79,0.87,1.04,1.0,1.17,7,0
4,proxy4,1.46,0.8,0.91,1.5,1.0,1.5,9,0
5,proxy5,1.4,0.88,1.16,1.43,1.02,1.67,10,0
6,proxy6,0.88,1.1,1.04,0.9,0.99,0.83,5,0
7,proxy7,1.0,0.72,1.11,1.02,1.0,0.83,5,0
8,proxy8,0.8,1.1,1.1,0.83,0.99,0.83,5,0
9,proxy9,28.49,1.34,4.45,1.08,7.05,4.17,5,0
10,proxy10,1.06,1.19,0.69,1.09,1.03,1.83,11,0
11,proxy11,0.73,0.76,0.7,0.75,1.01,1.33,8,0
12,proxy12,1.1,1.3,0.7,1.12,1.01,1.17,7,0
13,proxy13,0.77,1.1,1.28,0.79,1.0,0.83,5,0
14,proxy14,1.24,1.03,1.3,1.27,1.0,1.17,7,0
15,proxy15,1.02,0.82,0.82,1.05,1.0,0.83,5,0
16,proxy16,1.1,0.82,0.68,1.13,1.01,1.33,8,0
17,proxy17,1.0,1.07,1.25,1.02,1.0,1.0,6,0
18,proxy18,1.96,0.96,0.7,2.01,1.02,2.0,12,0
19,proxy19,0.54,0.94,1.25,0.55,1.0,0.67,4,0
20,proxy20,1.17,0.71,0.66,1.2,1.0,1.33,8,0
21,proxy21,0.48,0.79,0.76,0.49,1.01,1.0,6,0
22,proxy22,0.36,1.15,0.71,0.37,1.0,0.83,5,0
23,proxy23,1.42,0.72,0.85,1.46,1.01,1.83,11,0
24,proxy24,0.95,0.81,1.22,0.97,1.0,1.0,6,0
25,proxy25,7.35,0.95,0.74,7.54,1.01,1.33,8,1
26,proxy26,2.05,0.79,0.72,2.1,1.01,1.5,9,0
27,proxy27,32.41,0.78,3.45,341.26,5.43,1.33,8,1
28,proxy28,0.54,0.95,0.88,0.55,0.99,0.83,5,0
29,proxy29,0.82,0.83,0.93,0.84,1.01,1.0,6,0
30,proxy30,1.1,0.87,1.12,1.12,1.0,1.17,7,0
31,proxy31,0.71,0.92,1.25,0.73,1.0,0.83,5,0
32,proxy32,0.54,1.1,0.79,0.56,1.0,0.67,4,0
33,proxy33,0.38,0.83,0.68,0.39,1.0,1.0,6,0
34,proxy34,0.49,0.79,1.13,0.5,0.99,0.83,5,0
35,proxy35,1.02,0.78,1.01,1.05,1.0,1.33,8,0
36,proxy36,0.23,1.28,1.25,0.24,0.99,0.33,2,0
37,proxy37,1.91,0.74,0.96,1.96,1.0,1.67,10,0
38,proxy38,0.7,0.85,0.83,0.71,1.01,1.33,8,0
39,proxy39,0.98,0.71,0.8,1.0,1.0,1.0,6,0
40,proxy40,0.91,0.87,1.06,0.93,1.0,1.17,7,0
41,proxy41,12.1,0.99,0.95,12.4,0.99,0.5,3,1
42,proxy42,0.52,0.83,1.29,0.53,1.01,1.33,8,0
43,proxy43,0.55,0.94,0.8,0.57,0.99,0.67,4,0
44,proxy44,0.63,1.22,0.99,0.65,0.99,0.67,4,0
45,proxy45,1.66,1.26,0.9,1.71,0.99,1.33,8,0
46,proxy46,1.08,1.09,0.97,1.11,1.02,1.33,8,0
47,proxy47,1.16,0.72,0.98,1.19,1.01,1.0,6,0
48,proxy48,1.66,0.97,1.15,1.71,1.01,1.83,11,0
49,proxy49,0.88,0.81,0.83,0.91,1.0,1.0,6,0
50,proxy50,0.84,0.74,1.05,0.86,1.0,1.0,6,0
51,proxy51,0.5,1.03,0.84,0.51,1.0,0.83,5,0
52,proxy52,0.56,1.36,1.18,0.57,1.0,0.67,4,0
53,proxy53,1.16,1.04,0.99,1.19,0.99,1.33,8,0
54,proxy54,1.17,1.15,1.24,1.2,1.0,1.0,6,0
55,proxy55,0.52,1.25,0.91,0.53,0.99,0.33,2,0
56,proxy56,2.02,1.21,0.99,2.07,1.01,2.17,13,0
57,proxy57,0.94,1.12,1.16,0.96,0.99,0.67,4,0
58,proxy58,1.54,0.74,1.15,1.58,1.01,1.33,8,0
59,proxy59,1.05,1.21,0.78,1.08,1.0,1.0,6,0
60,proxy60,1.3,1.35,1.11,1.34,1.01,1.5,9,0
61,proxy61,0.82,1.34,1.2,0.84,1.01,1.33,8,0
62,proxy62,8.14,0.86,4.9,0.84,6.73,4.5,7,0
63,proxy63,0.47,0.74,1.17,0.48,0.99,0.67,4,0
64,proxy64,1.52,0.96,1.13,1.56,1.01,1.5,9,0
65,proxy65,0.68,1.34,1.04,0.69,0.99,0.83,5,0
66,proxy66,0.3,1.1,0.9,0.31,1.0,0.67,4,0
67,proxy67,1.18,1.15,0.9,1.21,1.01,1.33,8,0
68,proxy68,46.07,1.08,3.36,380.94,5.13,1.67,10,1
69,proxy69,1.0,1.32,1.27,1.02,1.0,1.5,9,0
70,proxy70,0.96,0.92,0.95,0.98,1.0,0.83,5,0
71,proxy71,0.96,0.88,0.72,0.99,1.0,1.17,7,0
72,proxy72,0.93,1.01,1.17,0.96,1.0,0.67,4,0
73,proxy73,13.12,1.05,1.2,13.44,1.02,1.83,11,1
74,proxy74,0.22,0.81,0.8,0.23,0.99,0.17,1,0
75,proxy75,1.76,1.11,1.05,1.81,1.0,1.33,8,0
