id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.91,1.03,1.32,0.91,1.0,1.12,18,0
2,proxy2,5.04,0.69,0.83,5.04,1.01,1.19,19,1
3,proxy3,4.92,0.77,0.9,4.92,0.99,0.62,10,1
4,proxy4,1.4,0.8,1.0,1.4,1.0,1.19,19,0
5,proxy5,5.79,1.17,1.13,5.79,1.0,0.88,14,1
6,proxy6,1.44,1.01,1.04,1.44,1.01,1.19,19,0
7,proxy7,1.07,1.0,0.91,1.07,1.01,1.06,17,0
8,proxy8,0.84,1.0,1.28,0.84,1.0,1.0,16,0
9,proxy9,3.93,0.75,1.24,3.93,0.99,0.75,12,1
10,proxy10,5.08,1.16,1.14,5.08,1.0,1.0,16,1
11,proxy11,0.76,1.08,1.29,0.76,0.99,0.69,11,0
12,proxy12,4.41,1.22,1.08,4.41,1.02,1.19,19,1
13,proxy13,1.26,0.81,1.06,1.26,1.0,0.94,15,0
14,proxy14,1.02,0.66,0.72,1.02,1.0,1.12,18,0
15,proxy15,0.67,1.04,0.89,0.67,0.97,0.75,12,0
16,proxy16,0.99,0.98,0.72,0.99,1.0,0.94,15,0
17,proxy17,5.67,0.98,0.85,5.67,1.0,0.69,11,1
18,proxy18,0.59,0.7,0.88,0.59,1.0,0.69,11,0
19,proxy19,1.0,1.06,1.29,1.0,0.99,0.75,12,0
20,proxy20,1.19,0.84,0.73,1.19,0.99,1.0,16,0
