id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,17.24,0.86,3.61,177.43,5.3,0.53,8,1
2,proxy2,0.85,1.28,0.73,0.98,1.0,0.73,11,0
3,proxy3,15.05,1.29,4.12,175.57,4.49,0.93,14,1
4,proxy4,0.79,0.88,0.8,0.91,1.0,0.93,14,0
5,proxy5,1.03,0.97,1.13,1.19,0.99,1.0,15,0
6,proxy6,0.78,0.71,0.94,0.91,0.99,0.8,12,0
7,proxy7,1.15,0.86,0.78,1.33,1.0,1.2,18,0
8,proxy8,17.75,1.33,4.12,163.25,4.01,1.2,18,1
9,proxy9,9.82,1.02,6.35,0.81,7.48,2.2,13,0
10,proxy10,0.58,0.8,1.08,0.68,0.99,0.8,12,0
11,proxy11,12.25,1.21,5.26,1.05,8.3,2.2,13,0
12,proxy12,1.18,1.36,0.99,1.36,1.02,1.53,23,0
13,proxy13,16.67,1.03,3.35,150.77,5.48,0.67,10,1
14,proxy14,8.28,1.0,5.42,1.03,9.36,2.4,16,0
15,proxy15,0.61,0.84,1.2,0.71,0.99,0.6,9,0
16,proxy16,15.37,1.28,3.36,194.5,3.93,1.13,17,1
17,proxy17,30.42,1.1,6.39,308.5,8.33,1.13,17,1
18,proxy18,0.64,1.21,0.7,0.74,0.99,0.67,10,0
19,proxy19,0.77,1.18,1.31,0.9,1.0,0.8,12,0
20,proxy20,13.97,1.29,3.5,157.42,5.51,1.2,18,1
21,proxy21,1.45,1.0,0.93,1.68,1.02,1.6,24,0
22,proxy22,1.07,1.05,0.75,1.24,1.0,1.13,17,0
23,proxy23,16.74,1.25,3.71,218.86,5.16,0.93,14,1
24,proxy24,0.79,1.04,1.0,0.91,0.99,0.8,12,0
25,proxy25,0.88,1.26,1.24,1.01,1.0,0.8,12,0
26,proxy26,15.95,0.95,4.51,149.27,5.53,0.87,13,1
27,proxy27,12.52,0.94,4.29,1.36,9.23,2.53,18,0
28,proxy28,0.62,1.16,0.92,0.71,0.99,0.67,10,0
29,proxy29,11.45,0.8,7.38,0.99,10.36,2.6,19,0
30,proxy30,0.97,0.92,1.15,1.13,1.0,1.0,15,0
31,proxy31,0.6,1.04,0.74,0.7,0.99,0.6,9,0
32,proxy32,0.45,0.97,0.7,0.52,0.99,0.47,7,0
33,proxy33,1.08,0.88,1.08,1.25,1.02,1.27,19,0
34,proxy34,1.23,0.92,0.96,1.43,0.99,1.07,16,0
35,proxy35,1.1,1.11,1.0,1.28,1.0,1.0,15,0
