id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.14,0.99,1.34,1.14,1.01,1.21,29,0
2,proxy2,3.23,1.07,1.35,3.23,1.02,1.25,30,1
3,proxy3,2.96,0.68,1.37,2.96,1.01,1.17,28,1
4,proxy4,0.99,1.24,0.81,0.99,1.0,0.92,22,0
5,proxy5,0.66,1.12,1.13,0.66,0.99,0.75,18,0
6,proxy6,1.03,0.75,0.89,1.03,1.03,1.29,31,0
7,proxy7,0.96,1.12,1.0,0.96,1.0,1.0,24,0
8,proxy8,3.68,0.77,0.88,3.68,1.01,0.96,23,1
9,proxy9,5.92,1.06,1.36,5.92,1.03,1.25,30,1
10,proxy10,1.12,1.02,1.37,1.12,1.0,1.04,25,0
11,proxy11,3.87,0.83,1.17,3.87,1.02,1.12,27,1
12,proxy12,1.07,0.87,1.39,1.07,0.99,1.04,25,0
13,proxy13,3.59,1.19,1.1,3.59,1.0,1.04,25,1
14,proxy14,1.0,0.67,1.4,1.0,1.0,1.0,24,0
15,proxy15,0.66,1.0,0.91,0.66,0.98,0.71,17,0
16,proxy16,3.14,0.96,0.91,3.14,1.02,1.21,29,1
17,proxy17,0.79,0.84,0.89,0.79,1.01,0.92,22,0
18,proxy18,2.73,0.84,1.31,2.73,1.0,0.96,23,1
19,proxy19,2.68,0.74,0.89,2.68,0.99,0.79,19,1
20,proxy20,1.06,1.11,1.0,1.06,1.03,1.21,29,0
