id,normal,abnormal,unknown
38.63.155.194,1,0,0
62.48.212.246,1,0,0
74.229.119.188,1,0,0
231.119.186.235,1,0,0
220.166.16.137,1,0,0
247.242.229.227,1,0,0
125.161.153.15,1,0,0
139.163.105.181,1,0,0
192.148.63.169,1,0,0
102.158.209.143,1,0,0
99.52.182.89,1,0,0
90.66.220.187,1,0,0
182.173.58.211,1,0,0
197.238.104.62,1,0,0
225.132.77.232,1,0,0
165.37.236.152,1,0,0
162.221.232.33,1,0,0
25.141.94.85,1,0,0
161.124.154.71,1,0,0
249.93.178.153,1,0,0
166.237.197.181,1,0,0
179.208.99.171,1,0,0
81.210.47.206,1,0,0
202.24.41.9,1,0,0
238.26.203.70,1,0,0
142.73.115.140,1,0,0
204.230.233.10,1,0,0
132.20.22.184,1,0,0
199.59.54.192,1,0,0
75.131.8.19,1,0,0
29.174.161.195,1,0,0
70.79.217.90,1,0,0
1.148.36.166,1,0,0
29.216.83.151,1,0,0
169.133.78.163,1,0,0
27.153.78.93,1,0,0
200.204.159.146,1,0,0
121.29.84.44,0,1,0
221.64.184.164,1,0,0
80.95.26.96,1,0,0
117.80.100.14,1,0,0
154.8.148.230,1,0,0
93.113.97.157,1,0,0
162.188.6.213,1,0,0
249.222.198.236,1,0,0
38.228.109.189,1,0,0
219.175.11.245,1,0,0
197.254.104.66,1,0,0
76.177.99.115,1,0,0
94.82.218.135,1,0,0
189.120.84.166,1,0,0
254.29.252.120,0,0,1
218.246.68.200,1,0,0
149.158.181.240,1,0,0
224.173.241.36,1,0,0
230.86.158.186,1,0,0
100.174.57.129,1,0,0
21.221.57.114,1,0,0
105.182.38.190,1,0,0
25.234.225.240,1,0,0
211.42.103.87,1,0,0
41.202.134.60,1,0,0
81.36.218.248,1,0,0
110.66.243.43,1,0,0
179.40.201.233,1,0,0
34.52.58.29,1,0,0
29.112.178.101,1,0,0
194.37.139.232,1,0,0
27.242.177.11,1,0,0
32.85.120.215,1,0,0
173.70.184.125,1,0,0
30.223.168.217,1,0,0
167.141.139.200,1,0,0
106.109.53.99,1,0,0
34.192.150.24,1,0,0
218.179.148.240,1,0,0
205.68.7.54,0,1,0
153.106.21.4,1,0,0
153.236.200.145,1,0,0
255.11.44.200,1,0,0
223.31.127.219,1,0,0
6.8.64.207,1,0,0
174.77.125.247,1,0,0
48.54.26.35,0,1,0
106.71.17.166,1,0,0
179.164.184.189,1,0,0
121.10.100.250,1,0,0
61.237.33.116,1,0,0
240.35.148.114,1,0,0
181.42.119.14,1,0,0
8.240.153.183,1,0,0
10.151.101.95,1,0,0
165.111.109.81,1,0,0
3.61.59.199,1,0,0
87.251.164.101,1,0,0
217.56.26.82,1,0,0
202.49.234.229,1,0,0
74.87.125.196,1,0,0
85.80.54.68,1,0,0
101.85.104.206,1,0,0
56.249.247.18,1,0,0
194.71.227.79,1,0,0
127.82.222.228,1,0,0
240.160.247.37,1,0,0
169.208.208.112,1,0,0
63.135.194.218,1,0,0
169.88.4.222,1,0,0
40.112.197.173,1,0,0
163.42.126.116,1,0,0
102.141.78.37,1,0,0
58.41.21.163,1,0,0
214.166.240.167,1,0,0
174.217.180.210,1,0,0
204.133.228.192,0,1,0
135.35.62.223,1,0,0
219.12.127.19,1,0,0
252.103.147.212,1,0,0
186.51.60.118,1,0,0
86.193.68.2,1,0,0
247.216.236.221,1,0,0
45.173.210.9,1,0,0
150.127.101.127,1,0,0
146.233.247.244,1,0,0
245.5.107.28,1,0,0
151.5.176.129,1,0,0
39.22.135.212,1,0,0
179.70.52.53,1,0,0
181.190.27.42,1,0,0
8.229.26.113,1,0,0
55.23.125.66,1,0,0
120.137.80.222,1,0,0
96.238.11.123,1,0,0
217.68.97.107,1,0,0
154.82.66.77,1,0,0
46.61.157.51,1,0,0
49.179.59.82,1,0,0
76.91.83.32,1,0,0
14.191.242.244,1,0,0
200.117.94.130,1,0,0
22.100.48.237,1,0,0
183.154.124.36,1,0,0
67.138.19.171,1,0,0
194.243.80.184,1,0,0
63.205.197.10,1,0,0
179.58.231.36,1,0,0
147.193.15.62,1,0,0
185.137.252.239,1,0,0
84.76.184.161,1,0,0
245.6.108.175,1,0,0
215.69.153.171,1,0,0
86.8.183.2,1,0,0
101.126.225.23,1,0,0
231.27.124.206,1,0,0
104.151.88.214,1,0,0
106.210.177.8,1,0,0
180.132.146.161,1,0,0
248.71.99.51,1,0,0
34.160.217.149,1,0,0
195.84.124.68,1,0,0
240.174.102.222,1,0,0
83.50.60.138,1,0,0
64.188.235.114,0,1,0
137.180.148.68,1,0,0
45.37.168.86,1,0,0
173.139.240.205,1,0,0
207.132.194.59,1,0,0
47.254.3.94,1,0,0
199.141.36.34,1,0,0
104.74.205.92,1,0,0
124.32.202.66,1,0,0
232.155.213.99,1,0,0
165.34.210.208,1,0,0
113.50.221.234,1,0,0
102.53.76.87,1,0,0
6.140.154.82,1,0,0
72.97.145.154,1,0,0
195.57.144.55,1,0,0
57.34.35.53,1,0,0
236.232.29.150,0,0,1
190.193.93.143,1,0,0
147.59.180.197,1,0,0
77.113.189.213,1,0,0
88.253.186.217,1,0,0
187.203.234.235,1,0,0
82.66.117.208,1,0,0
133.184.157.67,1,0,0
61.31.101.113,1,0,0
158.107.148.6,1,0,0
51.218.125.86,1,0,0
141.32.148.230,1,0,0
120.245.18.205,1,0,0
84.47.53.166,1,0,0
141.150.147.238,1,0,0
8.47.168.166,1,0,0
15.131.222.164,1,0,0
136.248.179.120,1,0,0
58.162.92.38,1,0,0
121.96.237.253,1,0,0
163.141.103.229,1,0,0
74.234.78.44,1,0,0
17.128.227.132,1,0,0
75.101.61.112,1,0,0
65.8.40.246,1,0,0
172.128.4.71,1,0,0
31.195.206.123,1,0,0
250.20.193.251,1,0,0
105.36.255.134,1,0,0
248.39.216.48,1,0,0
172.247.21.3,1,0,0
214.66.91.18,1,0,0
8.162.169.19,1,0,0
199.88.29.80,1,0,0
210.225.232.206,1,0,0
210.238.154.131,1,0,0
28.117.20.204,1,0,0
32.27.213.89,1,0,0
17.46.7.12,1,0,0
185.163.143.33,1,0,0
236.107.21.101,1,0,0
75.66.123.245,0,1,0
29.137.207.104,1,0,0
207.152.186.65,1,0,0
49.111.43.28,1,0,0
217.123.38.160,1,0,0
152.97.85.74,1,0,0
133.11.209.46,1,0,0
62.214.227.213,1,0,0
181.195.52.165,1,0,0
11.205.9.73,1,0,0
233.109.45.77,1,0,0
247.22.88.176,1,0,0
150.110.84.125,1,0,0
65.191.79.248,1,0,0
50.38.184.212,1,0,0
19.116.62.188,1,0,0
189.209.215.27,1,0,0
223.164.219.184,1,0,0
165.26.51.240,1,0,0
144.23.25.198,1,0,0
20.54.19.162,1,0,0
215.41.97.178,0,1,0
249.234.11.48,1,0,0
42.196.237.225,1,0,0
50.213.160.191,1,0,0
91.222.99.68,1,0,0
200.230.233.238,1,0,0
78.133.144.115,1,0,0
217.85.254.199,1,0,0
5.239.231.186,1,0,0
212.144.148.48,1,0,0
239.161.238.16,1,0,0
121.63.155.215,1,0,0
104.90.153.36,1,0,0
153.193.249.253,1,0,0
66.207.116.107,1,0,0
173.4.121.37,1,0,0
149.157.41.54,1,0,0
17.182.26.30,1,0,0
75.56.22.57,1,0,0
243.250.241.135,1,0,0
250.66.211.61,1,0,0
45.214.32.99,1,0,0
187.233.233.72,1,0,0
185.33.12.117,1,0,0
217.252.52.79,1,0,0
38.21.58.45,1,0,0
25.85.45.208,1,0,0
137.169.202.236,1,0,0
74.104.63.146,1,0,0
140.23.150.76,1,0,0
36.160.103.61,1,0,0
214.22.173.115,1,0,0
111.148.40.160,1,0,0
195.187.237.234,1,0,0
168.14.144.7,1,0,0
99.145.55.22,1,0,0
65.68.170.155,1,0,0
178.187.34.30,1,0,0
227.13.33.89,1,0,0
155.110.39.74,1,0,0
244.61.131.130,1,0,0
192.217.217.237,1,0,0
54.221.155.171,1,0,0
192.82.116.143,1,0,0
166.126.141.43,1,0,0
123.70.195.12,1,0,0
210.134.84.126,1,0,0
247.161.55.190,1,0,0
252.29.98.104,1,0,0
123.29.159.209,1,0,0
189.39.136.80,1,0,0
116.45.174.162,1,0,0
203.131.111.113,1,0,0
218.177.155.127,1,0,0
105.100.159.38,1,0,0
74.12.198.209,1,0,0
69.79.35.3,1,0,0
79.77.105.47,1,0,0
58.186.43.36,1,0,0
12.183.138.243,1,0,0
