id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.65,0.7,1.2,0.65,1.0,0.67,4,0
2,proxy2,0.66,1.1,0.75,0.66,0.99,0.67,4,0
3,proxy3,1.3,0.79,0.87,1.3,1.0,1.17,7,0
4,proxy4,0.56,1.16,0.83,0.56,0.99,0.67,4,0
5,proxy5,1.17,1.07,0.72,1.17,1.01,1.33,8,0
6,proxy6,0.91,0.68,1.2,0.91,1.0,1.0,6,0
7,proxy7,8.89,0.84,1.11,8.89,1.0,1.33,8,1
8,proxy8,0.91,1.11,1.13,0.91,1.0,1.0,6,0
9,proxy9,5.98,0.87,6.91,1.34,6.86,5.17,11,0
10,proxy10,1.44,0.97,1.18,1.44,1.0,1.17,7,0
11,proxy11,1.25,0.76,0.82,1.25,1.0,1.17,7,0
12,proxy12,0.25,1.15,1.17,0.25,1.0,0.67,4,0
13,proxy13,0.96,0.93,0.71,0.96,1.01,1.0,6,0
14,proxy14,61.23,1.03,11.84,2.95,12.92,8.83,13,0
15,proxy15,1.04,1.13,0.79,1.04,0.99,0.83,5,0
