id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.5,0.78,0.71,0.51,1.0,0.57,4,0
2,proxy2,1.3,1.1,1.06,1.31,1.01,1.29,9,0
3,proxy3,21.32,0.99,6.16,0.86,7.96,3.86,7,0
4,proxy4,0.49,0.87,1.12,0.49,0.99,0.71,5,0
5,proxy5,1.0,1.15,0.72,1.01,1.0,0.86,6,0
6,proxy6,1.22,0.89,0.85,1.22,1.01,1.14,8,0
7,proxy7,1.67,1.06,1.08,1.68,1.01,1.43,10,0
8,proxy8,1.33,1.14,1.0,1.34,1.01,1.29,9,0
9,proxy9,0.62,1.01,0.77,0.62,1.0,0.71,5,0
10,proxy10,0.83,0.78,0.63,0.84,1.0,1.0,7,0
11,proxy11,1.55,0.71,1.23,1.56,1.01,1.29,9,0
12,proxy12,0.99,0.64,1.03,1.0,1.0,0.86,6,0
13,proxy13,1.14,1.0,0.74,1.15,1.0,1.0,7,0
14,proxy14,0.4,1.01,1.0,0.4,0.99,0.43,3,0
15,proxy15,0.52,1.02,0.96,0.52,1.0,0.71,5,0
