id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.15,1.19,1.25,1.15,1.01,1.4,33,0
2,proxy2,1.11,0.88,1.05,1.11,0.98,1.11,26,0
3,proxy3,1.0,1.33,1.27,1.0,1.02,1.19,28,0
4,proxy4,1.24,1.32,0.79,1.24,1.04,1.45,34,0
5,proxy5,0.81,0.81,1.33,0.81,0.99,0.77,18,0
6,proxy6,0.79,1.34,1.23,0.79,0.99,0.89,21,0
7,proxy7,1.61,0.82,0.75,1.61,1.03,1.53,36,0
8,proxy8,1.0,1.01,0.95,1.0,1.0,0.98,23,0
9,proxy9,1.33,0.75,0.81,1.33,1.0,1.23,29,0
10,proxy10,1.04,1.18,1.18,1.04,0.98,0.77,18,0
11,proxy11,1.19,1.38,1.05,1.19,1.0,1.11,26,0
12,proxy12,1.66,1.08,0.78,1.66,1.01,1.45,34,0
13,proxy13,0.79,0.99,1.29,0.79,0.98,0.81,19,0
14,proxy14,0.91,0.76,1.25,0.91,1.01,0.98,23,0
15,proxy15,0.96,1.3,0.91,0.96,0.99,1.02,24,0
16,proxy16,1.0,0.9,0.93,1.0,1.0,0.94,22,0
17,proxy17,0.77,1.24,0.85,0.77,0.98,0.77,18,0
18,proxy18,0.87,0.79,0.72,0.87,1.01,0.85,20,0
19,proxy19,1.11,0.96,0.77,1.11,0.98,1.11,26,0
20,proxy20,0.92,0.84,1.22,0.92,1.0,0.94,22,0
