id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum
1,proxy1,9.790000000000001,4.282124013482294,20.292482661389872,0.9790000000000005,100,128,38
2,proxy2,29.248123655142606,3.884265350561767,32.84853855240232,17.649520234110554,100,136,41
3,proxy3,9.819999999999999,4.098322427896435,15.3231394555325,0.9820000000000004,100,122,36
4,proxy4,9.56,4.1099454163848,16.917770829555305,0.9560000000000005,100,125,37
5,proxy5,10.63,4.284376059394641,17.491448149365667,1.0630000000000004,100,161,44
6,proxy6,13.069999999999997,4.375946479657618,20.26539946475675,1.307,100,140,45
7,proxy7,65.74583283022085,4.432137641213779,98.54905927247222,57.05871458611289,100,178,43
8,proxy8,41.99397357425741,4.9108598399418,90.6644983127994,12.667208968423424,100,142,48
9,proxy9,7.1400000000000015,4.004044164769949,26.570228485504202,0.7140000000000003,100,107,29
10,proxy10,7.8999999999999995,4.322396728934706,13.356067319336436,0.7900000000000004,100,125,39
