id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum,BeingAttack
1,proxy1,3.47,25.539384619765823,22.1225825318572,0.347,13.0,11,11,0
2,proxy2,81.25204791329682,19.934737795682846,67.65104736226442,69.0928551794314,45.49477681970093,12,12,1
3,proxy3,2.81,28.254205063434664,18.510699912448285,0.281,12.3,10,10,0
4,proxy4,2.9699999999999998,26.501405819750836,26.28817676938131,0.297,12.7,13,13,0
5,proxy5,4.84,26.232685870441617,12.782927971317639,0.4840000000000001,15.200000000000003,20,20,0
6,proxy6,4.66,17.760897933690575,28.932241334260194,0.46599999999999997,15.1,18,18,0
7,proxy7,5.160000000000001,10.462164163279553,11.538806956325004,0.5160000000000001,14.8,18,18,0
8,proxy8,2.0,18.807890123614943,22.285229241524735,0.2,12.5,9,9,0
9,proxy9,109.68164435752723,26.876712712257437,100,126.32313334088899,100,17,17,1
10,proxy10,5.409999999999999,28.26706689421114,19.97983813477498,0.5410000000000001,15.3,20,20,0
11,proxy11,3.0700000000000003,22.685286106648533,21.61578527634856,0.30700000000000005,11.9,10,10,0
12,proxy12,2.0300000000000002,24.458651488377274,20.00759344286634,0.203,12.399999999999999,13,13,0
13,proxy13,3.44,15.753823342625186,27.37959254388401,0.3440000000000001,13.100000000000001,13,13,0
14,proxy14,3.4599999999999995,25.225386516741505,10.75241973821904,0.34600000000000003,14.4,15,15,0
15,proxy15,4.41,13.452047397634994,24.62344962483427,0.441,15.0,18,18,0
16,proxy16,2.65,26.03240414255792,25.867544819127264,0.26500000000000007,12.1,11,11,0
17,proxy17,3.25,24.463647513979684,14.206417457162345,0.325,13.6,13,13,0
18,proxy18,4.81,25.76001440120481,19.396929946886914,0.48100000000000004,14.3,18,18,0
19,proxy19,4.49,24.58276320010895,23.92595938319648,0.449,14.5,19,19,0
20,proxy20,4.97,14.178482595990907,13.634392292296805,0.49699999999999994,15.8,22,22,0
