id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.65,0.85,0.65,0.66,0.99,0.67,4,0
2,proxy2,1.89,0.93,0.99,1.92,1.0,1.5,9,0
3,proxy3,0.99,0.72,1.11,1.01,1.0,1.0,6,0
4,proxy4,1.24,0.68,0.66,1.26,1.0,1.33,8,0
5,proxy5,0.9,1.25,1.22,0.92,1.0,1.0,6,0
6,proxy6,0.84,0.66,1.12,0.85,0.99,0.83,5,0
7,proxy7,1.04,1.26,1.26,1.06,0.99,0.67,4,0
8,proxy8,0.53,1.15,1.23,0.54,0.99,0.5,3,0
9,proxy9,0.53,1.1,1.14,0.54,1.0,0.83,5,0
10,proxy10,0.87,1.27,1.0,0.89,1.0,1.17,7,0
11,proxy11,1.92,0.91,1.0,1.95,1.01,2.0,12,0
12,proxy12,0.82,1.22,1.14,0.83,1.0,1.33,8,0
13,proxy13,0.64,1.23,1.29,0.65,0.99,0.83,5,0
14,proxy14,0.98,1.21,1.25,1.0,1.0,1.0,6,0
15,proxy15,0.55,0.87,1.0,0.56,1.0,0.83,5,0
16,proxy16,1.14,1.14,0.78,1.16,1.0,1.17,7,0
17,proxy17,1.09,0.65,1.1,1.11,1.0,1.17,7,0
18,proxy18,1.01,1.21,1.28,1.03,1.0,1.17,7,0
19,proxy19,0.22,1.03,0.8,0.23,0.99,0.17,1,0
20,proxy20,1.65,0.65,1.23,1.68,1.01,1.5,9,0
21,proxy21,0.77,0.97,1.0,0.79,0.99,1.17,7,0
22,proxy22,31.73,1.01,7.43,1.39,9.92,4.5,7,0
23,proxy23,1.64,1.04,0.79,1.67,1.01,1.67,10,0
24,proxy24,1.43,1.28,0.84,1.46,1.0,1.5,9,0
25,proxy25,10.71,0.98,1.19,10.89,0.99,1.0,6,1
26,proxy26,2.06,0.76,0.89,2.09,1.01,1.67,10,0
27,proxy27,0.75,1.21,0.69,0.77,0.99,0.67,4,0
28,proxy28,1.61,1.06,0.97,1.64,1.01,1.67,10,0
29,proxy29,2.28,0.77,1.03,2.32,1.01,2.0,12,0
30,proxy30,0.51,0.77,0.98,0.52,1.0,0.5,3,0
31,proxy31,0.94,1.2,1.13,0.95,1.0,1.17,7,0
32,proxy32,0.9,1.02,0.82,0.92,1.0,0.83,5,0
33,proxy33,0.2,1.22,1.1,0.2,1.0,0.67,4,0
34,proxy34,0.96,0.91,0.73,0.97,1.0,1.0,6,0
35,proxy35,1.11,0.92,1.03,1.13,1.0,1.17,7,0
36,proxy36,1.21,0.68,1.28,1.23,1.0,1.33,8,0
37,proxy37,1.86,1.12,0.72,1.89,1.01,1.67,10,0
38,proxy38,0.76,1.08,0.81,0.77,1.0,1.0,6,0
39,proxy39,1.43,0.67,1.1,1.46,1.0,1.33,8,0
40,proxy40,1.03,1.16,0.99,1.05,1.0,1.0,6,0
41,proxy41,1.58,0.83,1.23,1.61,1.01,1.33,8,0
42,proxy42,0.24,0.93,0.87,0.25,1.0,0.5,3,0
43,proxy43,0.3,1.02,1.03,0.3,1.0,0.67,4,0
44,proxy44,8.32,0.98,0.98,8.46,1.01,0.83,5,1
45,proxy45,2.14,0.89,1.22,2.17,1.02,2.33,14,0
46,proxy46,1.38,0.79,0.77,1.4,1.01,1.5,9,0
47,proxy47,1.87,1.08,1.18,1.91,1.01,1.67,10,0
48,proxy48,50.9,0.95,3.96,376.27,4.74,1.33,8,1
49,proxy49,1.58,1.03,0.93,1.61,1.01,1.67,10,0
50,proxy50,0.54,1.1,1.18,0.55,0.99,0.83,5,0
51,proxy51,30.51,0.82,6.48,0.82,7.28,4.0,4,0
52,proxy52,0.64,1.13,1.16,0.65,0.99,1.0,6,0
53,proxy53,1.29,1.15,1.19,1.31,1.0,1.17,7,0
54,proxy54,0.94,0.65,0.82,0.96,1.0,1.0,6,0
55,proxy55,0.79,1.23,1.14,0.8,0.99,0.67,4,0
56,proxy56,0.55,1.02,0.85,0.56,0.99,0.67,4,0
57,proxy57,0.51,1.08,0.82,0.52,1.0,1.33,8,0
58,proxy58,0.55,1.18,0.79,0.56,0.99,0.5,3,0
59,proxy59,1.13,0.86,1.03,1.15,1.0,0.83,5,0
60,proxy60,2.46,0.94,1.07,2.5,1.01,2.0,12,0
61,proxy61,27.76,1.17,5.68,2.05,6.11,5.0,10,0
62,proxy62,0.88,0.92,0.97,0.89,1.0,0.83,5,0
63,proxy63,30.36,1.18,6.0,1.34,9.25,4.5,7,0
64,proxy64,1.15,1.07,0.81,1.17,1.0,1.17,7,0
65,proxy65,13.64,1.11,1.27,13.87,1.0,0.83,5,1
66,proxy66,0.82,1.22,0.85,0.83,0.99,0.67,4,0
67,proxy67,0.73,1.19,0.85,0.74,1.0,0.83,5,0
68,proxy68,1.09,1.15,0.97,1.11,1.0,0.83,5,0
69,proxy69,1.29,1.23,1.14,1.32,1.0,1.0,6,0
70,proxy70,1.31,0.73,0.66,1.34,1.0,1.5,9,0
71,proxy71,0.55,0.71,0.86,0.56,1.0,0.83,5,0
72,proxy72,0.5,0.8,1.02,0.51,0.99,0.5,3,0
73,proxy73,1.16,0.99,1.07,1.17,1.0,1.17,7,0
74,proxy74,1.49,0.87,0.99,1.51,1.01,1.83,11,0
75,proxy75,0.26,0.79,1.09,0.26,0.99,0.33,2,0
76,proxy76,1.43,0.94,1.03,1.45,1.0,1.17,7,0
77,proxy77,1.1,1.07,1.03,1.12,1.0,1.17,7,0
78,proxy78,9.25,0.98,0.78,9.4,1.01,1.67,10,1
79,proxy79,0.58,1.0,0.67,0.59,1.0,1.17,7,0
80,proxy80,9.2,0.84,6.89,1.3,5.93,4.83,9,0
81,proxy81,0.24,0.84,1.09,0.25,0.99,0.5,3,0
82,proxy82,13.53,1.01,1.02,13.76,1.01,1.33,8,1
83,proxy83,8.2,1.1,0.86,8.34,1.0,0.67,4,1
84,proxy84,1.76,1.2,1.22,1.79,1.0,2.0,12,0
85,proxy85,1.07,1.24,1.12,1.09,0.99,0.67,4,0
86,proxy86,0.67,1.15,0.79,0.68,0.99,0.5,3,0
87,proxy87,0.48,0.71,0.93,0.48,1.0,0.5,3,0
88,proxy88,41.92,0.86,3.09,343.48,4.6,1.83,11,1
89,proxy89,0.94,1.22,0.92,0.96,0.99,0.67,4,0
90,proxy90,45.48,0.66,3.71,409.66,5.57,2.0,12,1
91,proxy91,1.02,0.69,1.03,1.04,1.0,0.83,5,0
92,proxy92,1.29,0.92,0.67,1.31,1.0,1.17,7,0
93,proxy93,1.7,1.28,1.18,1.72,1.01,1.67,10,0
94,proxy94,1.3,0.85,1.05,1.32,1.0,1.0,6,0
95,proxy95,2.07,1.26,0.97,2.11,1.01,1.67,10,0
96,proxy96,1.47,1.19,1.0,1.49,1.01,1.83,11,0
97,proxy97,39.03,1.01,3.26,436.84,4.09,1.33,8,1
98,proxy98,0.98,0.85,0.86,1.0,1.0,1.0,6,0
99,proxy99,0.47,1.0,0.66,0.48,0.99,0.67,4,0
100,proxy100,1.64,0.79,1.23,1.67,1.01,1.5,9,0
101,proxy101,0.28,0.68,0.81,0.28,0.98,0.33,2,0
102,proxy102,7.8,1.05,0.72,7.93,1.01,1.33,8,1
103,proxy103,2.01,1.02,0.9,2.05,1.01,1.67,10,0
104,proxy104,0.96,0.74,0.77,0.97,1.01,1.5,9,0
105,proxy105,53.02,0.9,3.11,533.3,4.96,2.17,13,1
106,proxy106,1.54,1.16,0.94,1.56,1.02,1.5,9,0
107,proxy107,0.55,1.04,1.02,0.56,1.0,0.83,5,0
108,proxy108,1.02,0.83,1.12,1.04,1.01,1.17,7,0
109,proxy109,1.97,1.12,0.91,2.01,1.01,1.83,11,0
110,proxy110,2.58,0.91,1.19,2.62,1.01,2.0,12,0
111,proxy111,0.98,1.11,0.83,1.0,1.0,1.17,7,0
112,proxy112,0.57,0.93,1.29,0.58,1.0,1.0,6,0
113,proxy113,0.91,0.96,0.95,0.93,1.0,1.0,6,0
114,proxy114,14.47,0.76,6.29,0.62,6.59,3.83,3,0
115,proxy115,51.83,1.06,3.79,401.02,5.22,0.83,5,1
116,proxy116,1.15,1.07,1.04,1.17,1.0,1.0,6,0
