id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.38,1.19,0.7,1.38,1.0,1.46,19,0
2,proxy2,1.14,1.0,0.72,1.14,1.01,1.08,14,0
3,proxy3,0.85,0.82,0.88,0.85,1.0,0.62,8,0
4,proxy4,1.0,0.97,1.0,1.0,1.0,1.0,13,0
5,proxy5,0.93,1.24,1.09,0.93,1.01,1.15,15,0
6,proxy6,1.5,0.88,1.01,1.5,1.01,1.38,18,0
7,proxy7,1.09,0.98,1.12,1.09,1.0,1.0,13,0
8,proxy8,1.51,1.43,0.83,1.51,1.01,1.38,18,0
9,proxy9,0.83,1.23,1.12,0.83,1.0,0.77,10,0
10,proxy10,1.3,1.39,0.69,1.3,1.01,1.15,15,0
11,proxy11,1.16,0.89,1.27,1.16,1.0,0.92,12,0
12,proxy12,0.72,0.98,0.72,0.72,0.98,0.77,10,0
13,proxy13,0.58,1.33,0.68,0.58,0.99,0.69,9,0
14,proxy14,0.79,1.16,1.01,0.79,1.0,1.0,13,0
15,proxy15,0.91,0.81,1.01,0.91,1.0,1.0,13,0
