id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,0.84,0.68,0.92,0.84,1.0,0.62,5,0
2,proxy2,0.69,1.2,1.32,0.69,0.99,0.5,4,0
3,proxy3,0.06,1.3,0.78,0.06,0.99,0.38,3,0
4,proxy4,1.55,1.01,1.09,1.55,1.01,1.62,13,0
5,proxy5,1.14,1.34,0.81,1.14,1.0,1.0,8,0
6,proxy6,1.4,1.04,0.78,1.4,1.01,1.5,12,0
7,proxy7,0.91,0.91,1.0,0.91,1.0,0.88,7,0
8,proxy8,2.24,1.28,0.81,2.24,1.02,1.75,14,0
9,proxy9,0.9,0.95,0.94,0.9,1.0,1.0,8,0
10,proxy10,1.86,1.14,0.71,1.86,1.01,1.38,11,0
11,proxy11,1.44,1.27,1.21,1.44,1.0,1.12,9,0
12,proxy12,1.04,0.77,1.08,1.04,1.0,0.88,7,0
13,proxy13,0.66,1.0,0.7,0.66,1.0,0.88,7,0
14,proxy14,0.99,0.85,0.76,0.99,1.0,1.0,8,0
15,proxy15,0.63,1.05,0.76,0.63,0.99,0.38,3,0
16,proxy16,0.5,1.33,0.79,0.5,0.99,0.5,4,0
17,proxy17,1.59,1.33,0.82,1.59,1.0,1.0,8,0
18,proxy18,1.73,0.81,1.0,1.73,1.0,1.38,11,0
19,proxy19,0.49,0.78,1.18,0.49,1.0,0.62,5,0
20,proxy20,1.3,1.16,1.13,1.3,1.01,1.25,10,0
21,proxy21,0.6,1.3,0.81,0.6,0.99,0.5,4,0
22,proxy22,1.01,1.15,0.92,1.01,0.99,0.62,5,0
23,proxy23,0.62,1.06,1.05,0.62,0.99,0.62,5,0
24,proxy24,0.68,0.7,1.32,0.68,1.0,1.0,8,0
25,proxy25,0.45,1.25,1.07,0.45,0.99,0.62,5,0
26,proxy26,0.6,1.35,1.13,0.6,1.0,0.88,7,0
27,proxy27,0.84,0.95,1.18,0.84,1.0,0.88,7,0
28,proxy28,0.8,0.98,1.25,0.8,1.0,0.88,7,0
29,proxy29,0.16,0.89,0.7,0.16,0.99,0.38,3,0
30,proxy30,0.76,1.26,0.67,0.76,1.0,0.88,7,0
31,proxy31,1.01,0.91,1.27,1.01,1.01,1.0,8,0
32,proxy32,1.84,1.35,1.05,1.84,1.02,1.88,15,0
33,proxy33,1.41,1.08,1.13,1.41,1.0,1.25,10,0
34,proxy34,0.75,0.83,1.04,0.75,1.0,0.75,6,0
35,proxy35,1.23,1.21,0.91,1.23,1.01,1.25,10,0
36,proxy36,1.69,0.95,0.88,1.69,1.0,1.5,12,0
37,proxy37,1.31,0.95,1.32,1.31,1.0,1.0,8,0
38,proxy38,0.24,1.18,1.24,0.24,0.99,0.25,2,0
39,proxy39,0.67,0.8,0.84,0.67,0.99,0.38,3,0
40,proxy40,0.83,0.88,0.99,0.83,1.0,0.75,6,0
41,proxy41,0.87,1.25,0.95,0.87,1.01,1.25,10,0
42,proxy42,1.54,0.82,1.05,1.54,1.02,1.38,11,0
43,proxy43,1.37,0.78,1.0,1.37,1.0,1.25,10,0
44,proxy44,0.57,0.78,0.96,0.57,1.0,0.75,6,0
45,proxy45,1.08,1.26,0.74,1.08,1.0,1.0,8,0
46,proxy46,1.36,0.72,0.92,1.36,1.0,0.88,7,0
47,proxy47,1.14,0.71,0.75,1.14,1.0,1.0,8,0
48,proxy48,0.8,1.2,0.67,0.8,1.0,0.62,5,0
49,proxy49,0.99,0.68,1.3,0.99,1.0,1.0,8,0
50,proxy50,1.25,0.9,1.09,1.25,1.01,1.25,10,0
51,proxy51,1.6,1.31,0.85,1.6,1.01,1.25,10,0
52,proxy52,1.66,1.15,1.07,1.66,1.01,1.62,13,0
53,proxy53,1.05,1.25,1.17,1.05,1.0,1.12,9,0
54,proxy54,1.77,1.3,0.68,1.77,1.01,1.25,10,0
55,proxy55,0.65,1.05,1.3,0.65,0.99,0.5,4,0
56,proxy56,1.64,1.33,0.77,1.64,1.01,1.62,13,0
57,proxy57,0.98,0.74,1.23,0.98,1.0,1.12,9,0
58,proxy58,0.6,0.86,1.01,0.6,0.99,0.5,4,0
59,proxy59,0.99,1.33,0.7,0.99,1.0,1.12,9,0
60,proxy60,0.91,0.88,0.84,0.91,1.01,1.0,8,0
61,proxy61,1.42,1.15,0.8,1.42,1.0,1.25,10,0
62,proxy62,1.3,0.74,1.25,1.3,1.01,1.25,10,0
63,proxy63,1.01,0.75,1.21,1.01,1.0,0.88,7,0
64,proxy64,0.74,0.89,1.06,0.74,1.0,0.75,6,0
65,proxy65,1.15,0.97,0.77,1.15,1.01,1.62,13,0
66,proxy66,1.66,0.84,0.91,1.66,1.02,1.62,13,0
67,proxy67,1.2,1.24,0.98,1.2,1.01,1.25,10,0
68,proxy68,1.18,1.02,1.3,1.18,1.0,0.88,7,0
69,proxy69,1.18,1.29,1.01,1.18,1.01,1.38,11,0
70,proxy70,1.25,1.14,0.98,1.25,1.0,1.0,8,0
71,proxy71,0.62,0.68,1.13,0.62,1.0,1.0,8,0
72,proxy72,0.59,1.15,0.87,0.59,0.99,0.88,7,0
73,proxy73,0.95,1.35,1.11,0.95,1.0,1.12,9,0
74,proxy74,1.04,0.74,1.25,1.04,1.0,0.75,6,0
75,proxy75,0.92,0.95,1.29,0.92,1.0,1.25,10,0
76,proxy76,0.79,0.75,1.31,0.79,1.0,1.12,9,0
77,proxy77,1.97,1.26,1.31,1.97,1.01,1.5,12,0
78,proxy78,1.32,1.0,1.02,1.32,1.0,1.0,8,0
79,proxy79,1.04,0.78,0.74,1.04,1.0,0.75,6,0
80,proxy80,0.83,1.29,0.72,0.83,1.01,0.88,7,0
81,proxy81,1.2,0.92,1.12,1.2,0.99,1.38,11,0
82,proxy82,1.19,0.68,0.87,1.19,1.0,1.0,8,0
83,proxy83,0.76,0.79,1.33,0.76,1.0,0.75,6,0
84,proxy84,0.72,1.0,0.91,0.72,1.0,1.12,9,0
85,proxy85,2.05,1.0,0.89,2.05,1.02,1.62,13,0
86,proxy86,1.19,0.87,1.18,1.19,1.0,1.0,8,0
87,proxy87,0.82,0.97,0.68,0.82,1.01,1.0,8,0
88,proxy88,1.02,1.24,1.25,1.02,1.0,1.12,9,0
89,proxy89,0.16,0.82,1.24,0.16,0.99,0.38,3,0
90,proxy90,0.93,0.72,0.7,0.93,1.0,0.88,7,0
91,proxy91,0.73,1.16,1.17,0.73,1.0,0.75,6,0
92,proxy92,1.68,0.91,1.23,1.68,1.02,1.5,12,0
93,proxy93,0.97,1.17,0.69,0.97,1.0,1.0,8,0
94,proxy94,1.13,1.07,1.26,1.13,0.99,1.0,8,0
95,proxy95,0.47,1.22,0.84,0.47,0.99,0.5,4,0
96,proxy96,0.81,0.82,0.87,0.81,1.0,1.0,8,0
97,proxy97,0.24,0.96,1.14,0.24,0.99,0.62,5,0
98,proxy98,1.26,1.08,1.02,1.26,1.01,1.25,10,0
99,proxy99,1.12,0.7,0.73,1.12,1.0,1.12,9,0
100,proxy100,0.37,0.79,1.25,0.37,0.99,0.5,4,0
