id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.05,0.9,0.89,1.19,1.01,1.29,9,0
2,proxy2,0.79,0.87,0.77,0.89,0.99,0.86,6,0
3,proxy3,0.62,1.02,0.79,0.7,0.99,0.71,5,0
4,proxy4,0.98,0.58,1.09,1.11,1.0,1.14,8,0
5,proxy5,0.43,1.07,1.04,0.48,0.99,0.43,3,0
6,proxy6,4.31,0.71,7.42,0.76,7.18,3.71,6,0
7,proxy7,1.09,1.08,0.96,1.23,1.0,0.86,6,0
8,proxy8,0.59,1.0,0.85,0.66,0.99,0.57,4,0
9,proxy9,1.79,1.14,1.07,2.02,1.01,1.71,12,0
10,proxy10,0.18,1.0,0.87,0.2,0.99,0.29,2,0
11,proxy11,6.7,0.95,1.33,7.57,1.0,1.14,8,1
12,proxy12,1.02,1.03,0.92,1.15,1.01,1.14,8,0
13,proxy13,26.09,1.02,6.49,1.31,7.28,4.0,8,0
14,proxy14,22.14,0.59,8.88,1.53,10.49,4.43,11,0
15,proxy15,0.62,0.98,1.48,0.7,0.99,0.57,4,0
