id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum,BeingAttack
1,proxy1,16.96,17.031849104876574,17.22092784928102,1.6959999999999997,13.4,10,10,1
2,proxy2,19.27,22.957328691760296,19.260614329411794,1.9269999999999998,13.600000000000001,11,11,1
3,proxy3,2.19,24.754697430482818,17.651929483318234,0.21900000000000003,12.0,10,10,0
4,proxy4,28.04,14.409590917065342,11.054859901838405,2.8039999999999994,13.5,15,15,1
5,proxy5,2.2300000000000004,28.63840022162122,16.951291299477102,0.223,11.8,8,8,0
6,proxy6,42.239999999999995,24.887024488843668,14.416907149961384,4.224,13.100000000000001,14,14,1
7,proxy7,31.65,27.913312271601185,19.165631010390225,3.1650000000000005,12.600000000000001,9,9,1
8,proxy8,2.0400000000000005,21.317285104891173,19.68018376957137,0.20400000000000001,12.5,8,8,0
9,proxy9,2.6399999999999997,14.136479293831275,14.57107449202669,0.26400000000000007,13.7,11,11,0
10,proxy10,1.46,25.228385292625095,20.505466925248406,0.14600000000000002,11.8,5,5,0
11,proxy11,3.8399999999999994,26.53783960786671,19.166649851480265,0.384,15.8,17,17,0
12,proxy12,0.43,11.30521730456683,25.288237596624576,0.043000000000000003,10.9,3,3,0
13,proxy13,3.32,18.698896717112,20.231420459576693,0.332,14.8,13,13,0
14,proxy14,1.9900000000000002,19.276196701029367,11.377379223788104,0.199,12.0,9,9,0
15,proxy15,2.9699999999999998,13.611262392533945,28.62043290646162,0.297,13.4,10,10,0
16,proxy16,17.56,16.149724833857523,17.685342963915335,1.756,12.600000000000001,14,14,1
17,proxy17,2.05,14.7680253498329,15.971929915390982,0.20500000000000002,11.4,7,7,0
18,proxy18,2.7399999999999998,13.17466315755187,25.81949216806371,0.274,13.0,9,9,0
19,proxy19,2.19,28.614226194314725,19.037952988534247,0.21900000000000006,13.0,11,11,0
20,proxy20,0.9199999999999999,25.495463989148913,12.750689284007027,0.092,11.4,6,6,0
