id,proxyname,SEND_KILOBYTES,DISK_LOAD,CPU_LOAD,RECEIVE_KILOBYTES,MEM_LOAD,DISK_LOAD_COUNT,UserNum,BeingAttack
1,proxy1,4.01,13.469047897572398,21.624381434500542,0.401,12.2,13,13,0
2,proxy2,21.210000000000004,21.227267046278634,11.610030680653004,2.121,12.1,7,7,1
3,proxy3,2.5999999999999996,12.031734670368474,16.232232349444367,0.26,13.1,10,10,0
4,proxy4,2.79,12.262019959265766,18.161781114788624,0.279,12.0,11,11,0
5,proxy5,2.76,12.032430655174439,23.21064446788254,0.276,12.6,11,11,0
6,proxy6,19.2,27.60300368921904,27.995739723019632,1.92,12.6,12,12,1
7,proxy7,3.62,26.685192138111766,21.866512243914798,0.362,12.3,12,12,0
8,proxy8,1.4,29.92478438777342,23.86913108908794,0.14,11.8,7,7,0
9,proxy9,27.11,23.93413227444959,15.150473677550789,2.711,12.4,12,12,1
10,proxy10,1.5100000000000002,22.452957222011978,25.02989312885898,0.151,11.8,5,5,0
