Starting training...
Epoch 1/1000, Train Loss: 0.3127, Validation Loss: 0.1307, Train Accuracy: 0.9866, Validation Accuracy: 0.9811
Epoch 2/1000, Train Loss: 0.0811, Validation Loss: 0.1086, Train Accuracy: 0.9866, Validation Accuracy: 0.9811
Epoch 3/1000, Train Loss: 0.0710, Validation Loss: 0.0957, Train Accuracy: 0.9866, Validation Accuracy: 0.9811
Epoch 4/1000, Train Loss: 0.0659, Validation Loss: 0.0971, Train Accuracy: 0.9866, Validation Accuracy: 0.9811
Epoch 5/1000, Train Loss: 0.0595, Validation Loss: 0.0823, Train Accuracy: 0.9893, Validation Accuracy: 0.9818
Epoch 6/1000, Train Loss: 0.0539, Validation Loss: 0.0746, Train Accuracy: 0.9893, Validation Accuracy: 0.9818
Epoch 7/1000, Train Loss: 0.0484, Validation Loss: 0.0639, Train Accuracy: 0.9893, Validation Accuracy: 0.9818
Epoch 8/1000, Train Loss: 0.0428, Validation Loss: 0.0546, Train Accuracy: 0.9894, Validation Accuracy: 0.9818
Epoch 9/1000, Train Loss: 0.0380, Validation Loss: 0.0432, Train Accuracy: 0.9892, Validation Accuracy: 0.9818
Epoch 10/1000, Train Loss: 0.0313, Validation Loss: 0.0414, Train Accuracy: 0.9895, Validation Accuracy: 0.9818
Epoch 11/1000, Train Loss: 0.0287, Validation Loss: 0.0373, Train Accuracy: 0.9922, Validation Accuracy: 0.9909
Epoch 12/1000, Train Loss: 0.0320, Validation Loss: 0.0354, Train Accuracy: 0.9924, Validation Accuracy: 0.9909
Epoch 13/1000, Train Loss: 0.0275, Validation Loss: 0.0313, Train Accuracy: 0.9905, Validation Accuracy: 0.9839
Epoch 14/1000, Train Loss: 0.0201, Validation Loss: 0.0294, Train Accuracy: 0.9903, Validation Accuracy: 0.9849
Epoch 15/1000, Train Loss: 0.0171, Validation Loss: 0.0283, Train Accuracy: 0.9940, Validation Accuracy: 0.9944
Epoch 16/1000, Train Loss: 0.0163, Validation Loss: 0.0216, Train Accuracy: 0.9948, Validation Accuracy: 0.9961
Epoch 17/1000, Train Loss: 0.0135, Validation Loss: 0.0169, Train Accuracy: 0.9966, Validation Accuracy: 0.9968
Epoch 18/1000, Train Loss: 0.0111, Validation Loss: 0.0159, Train Accuracy: 0.9977, Validation Accuracy: 0.9982
Epoch 19/1000, Train Loss: 0.0101, Validation Loss: 0.0155, Train Accuracy: 0.9976, Validation Accuracy: 0.9982
Epoch 20/1000, Train Loss: 0.0096, Validation Loss: 0.0137, Train Accuracy: 0.9956, Validation Accuracy: 0.9972
Epoch 21/1000, Train Loss: 0.0097, Validation Loss: 0.0167, Train Accuracy: 0.9960, Validation Accuracy: 0.9968
Epoch 22/1000, Train Loss: 0.0108, Validation Loss: 0.0170, Train Accuracy: 0.9976, Validation Accuracy: 0.9975
Epoch 23/1000, Train Loss: 0.0116, Validation Loss: 0.0156, Train Accuracy: 0.9964, Validation Accuracy: 0.9975
Epoch 24/1000, Train Loss: 0.0088, Validation Loss: 0.0120, Train Accuracy: 0.9965, Validation Accuracy: 0.9972
Epoch 25/1000, Train Loss: 0.0096, Validation Loss: 0.0158, Train Accuracy: 0.9981, Validation Accuracy: 0.9972
Epoch 26/1000, Train Loss: 0.0082, Validation Loss: 0.0111, Train Accuracy: 0.9985, Validation Accuracy: 0.9982
Epoch 27/1000, Train Loss: 0.0061, Validation Loss: 0.0095, Train Accuracy: 0.9984, Validation Accuracy: 0.9989
Epoch 28/1000, Train Loss: 0.0056, Validation Loss: 0.0104, Train Accuracy: 0.9986, Validation Accuracy: 0.9975
Epoch 29/1000, Train Loss: 0.0054, Validation Loss: 0.0090, Train Accuracy: 0.9972, Validation Accuracy: 0.9982
Epoch 30/1000, Train Loss: 0.0058, Validation Loss: 0.0090, Train Accuracy: 0.9972, Validation Accuracy: 0.9982
Epoch 31/1000, Train Loss: 0.0200, Validation Loss: 0.0194, Train Accuracy: 0.9946, Validation Accuracy: 0.9954
Epoch 32/1000, Train Loss: 0.0114, Validation Loss: 0.0116, Train Accuracy: 0.9963, Validation Accuracy: 0.9972
Epoch 33/1000, Train Loss: 0.0075, Validation Loss: 0.0097, Train Accuracy: 0.9968, Validation Accuracy: 0.9972
Epoch 34/1000, Train Loss: 0.0057, Validation Loss: 0.0076, Train Accuracy: 0.9975, Validation Accuracy: 0.9989
Epoch 35/1000, Train Loss: 0.0058, Validation Loss: 0.0074, Train Accuracy: 0.9987, Validation Accuracy: 0.9993
