id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,1.63,0.88,1.15,1.63,1.01,1.38,11,0
2,proxy2,1.15,0.91,0.79,1.15,0.99,1.0,8,0
3,proxy3,0.56,1.04,1.19,0.56,0.99,0.75,6,0
4,proxy4,0.98,1.06,0.85,0.98,1.0,0.75,6,0
5,proxy5,1.04,0.8,0.95,1.04,1.01,1.25,10,0
6,proxy6,0.52,1.12,0.77,0.52,0.99,0.62,5,0
7,proxy7,0.69,0.7,0.72,0.69,1.0,0.75,6,0
8,proxy8,0.43,1.19,0.79,0.43,1.0,0.75,6,0
9,proxy9,0.62,0.95,0.87,0.62,1.0,0.75,6,0
10,proxy10,1.09,0.86,1.31,1.09,1.0,1.12,9,0
11,proxy11,1.14,1.33,0.93,1.14,1.02,1.38,11,0
12,proxy12,0.84,0.7,0.86,0.84,1.0,1.0,8,0
13,proxy13,0.83,1.16,1.17,0.83,1.0,0.75,6,0
14,proxy14,0.96,0.91,0.79,0.96,1.0,0.75,6,0
15,proxy15,1.49,0.84,1.29,1.49,1.01,1.25,10,0
16,proxy16,0.94,0.85,0.88,0.94,1.01,1.5,12,0
17,proxy17,1.02,0.69,1.34,1.02,1.0,1.12,9,0
18,proxy18,0.87,1.31,1.11,0.87,1.0,0.88,7,0
19,proxy19,1.11,1.3,0.73,1.11,1.0,1.0,8,0
20,proxy20,1.15,0.88,1.36,1.15,1.01,1.12,9,0
21,proxy21,0.48,1.13,0.97,0.48,0.99,0.5,4,0
22,proxy22,0.8,1.0,1.4,0.8,0.99,0.5,4,0
23,proxy23,1.13,0.86,0.84,1.13,1.01,1.0,8,0
24,proxy24,1.64,1.2,0.87,1.64,1.01,1.5,12,0
25,proxy25,1.12,0.76,1.22,1.12,1.0,1.25,10,0
26,proxy26,0.65,0.83,1.03,0.65,1.0,0.88,7,0
27,proxy27,0.84,1.17,0.84,0.84,1.0,1.12,9,0
28,proxy28,1.72,1.21,1.38,1.72,1.01,1.5,12,0
29,proxy29,1.03,1.16,0.79,1.03,1.0,1.0,8,0
30,proxy30,1.44,1.19,1.16,1.44,1.01,1.62,13,0
31,proxy31,1.07,0.98,1.34,1.07,1.0,1.0,8,0
32,proxy32,0.86,0.92,1.24,0.86,1.0,0.88,7,0
33,proxy33,0.85,1.24,0.94,0.85,1.0,1.0,8,0
34,proxy34,1.07,0.76,0.83,1.07,1.0,1.25,10,0
35,proxy35,0.93,1.07,0.95,0.93,0.99,0.88,7,0
36,proxy36,1.4,1.36,0.81,1.4,1.0,1.5,12,0
37,proxy37,1.77,1.36,0.99,1.77,1.01,1.88,15,0
38,proxy38,1.62,0.9,0.98,1.62,1.01,1.5,12,0
39,proxy39,1.43,0.84,1.39,1.43,1.0,1.25,10,0
40,proxy40,1.62,0.93,0.91,1.62,1.0,1.25,10,0
41,proxy41,1.38,1.16,1.27,1.38,1.01,1.38,11,0
42,proxy42,1.62,1.28,0.99,1.62,1.01,1.25,10,0
43,proxy43,0.87,1.08,1.0,0.87,0.99,0.62,5,0
44,proxy44,1.14,1.25,1.28,1.14,1.0,1.12,9,0
45,proxy45,0.71,0.73,0.75,0.71,1.0,0.75,6,0
46,proxy46,1.01,0.86,0.85,1.01,1.0,1.0,8,0
47,proxy47,1.05,0.82,1.27,1.05,1.02,1.12,9,0
48,proxy48,2.16,0.89,1.14,2.16,1.0,1.75,14,0
49,proxy49,1.05,0.99,1.17,1.05,1.0,1.0,8,0
50,proxy50,1.23,0.77,1.21,1.23,1.0,1.25,10,0
51,proxy51,0.83,1.16,1.04,0.83,0.99,0.88,7,0
52,proxy52,1.46,1.18,1.34,1.46,1.0,1.25,10,0
53,proxy53,1.39,0.89,0.91,1.39,0.99,1.0,8,0
54,proxy54,1.49,1.13,1.29,1.49,1.01,1.25,10,0
55,proxy55,0.32,1.27,0.72,0.32,0.98,0.25,2,0
56,proxy56,0.59,0.91,1.0,0.59,1.0,0.75,6,0
57,proxy57,0.59,0.9,1.34,0.59,1.0,0.75,6,0
58,proxy58,1.08,0.72,1.11,1.08,0.99,0.75,6,0
59,proxy59,0.98,0.87,1.37,0.98,1.0,1.0,8,0
60,proxy60,0.6,0.84,0.78,0.6,0.99,0.62,5,0
61,proxy61,0.58,1.36,1.27,0.58,0.98,0.75,6,0
62,proxy62,0.85,0.97,0.97,0.85,1.0,1.0,8,0
63,proxy63,1.15,1.1,0.76,1.15,1.0,1.0,8,0
64,proxy64,0.74,0.9,1.25,0.74,0.99,0.5,4,0
65,proxy65,1.38,1.13,0.73,1.38,1.0,1.38,11,0
