id,proxyname,SEND_ratio,DISK_ratio,CPU_ratio,RECEIVE_ratio,MEM_ratio,DISK_COUNT_ratio,UserNum,BeingAttack
1,proxy1,29.97,1.3,4.95,2.03,10.37,3.88,11,0
2,proxy2,1.0,0.77,0.96,1.01,1.0,1.0,8,0
3,proxy3,0.64,0.75,0.68,0.65,0.99,0.62,5,0
4,proxy4,0.7,1.17,1.07,0.71,0.99,0.38,3,0
5,proxy5,0.6,0.95,0.89,0.61,0.99,0.5,4,0
6,proxy6,0.75,1.19,1.02,0.76,1.0,0.75,6,0
7,proxy7,2.31,0.88,0.68,2.35,1.02,1.62,13,0
8,proxy8,1.15,0.98,0.83,1.16,1.01,1.0,8,0
9,proxy9,1.18,0.97,0.83,1.2,1.0,1.0,8,0
10,proxy10,2.12,1.17,1.03,2.15,1.01,1.12,9,0
11,proxy11,0.99,1.15,1.05,1.0,1.0,0.62,5,0
12,proxy12,27.44,1.03,4.18,1.59,9.32,3.62,9,0
13,proxy13,27.26,1.05,4.43,0.7,10.85,3.0,4,0
14,proxy14,0.59,1.0,1.0,0.6,0.99,0.25,2,0
15,proxy15,0.59,0.7,0.76,0.6,0.99,0.62,5,0
